,city,street,number
0, г. Ижевск, ул. Ворошилова,23
1, с. Новочеркасск, Центральная улица,2
2, г. Великие Луки, пр-кт Гагарина,6
3,г. Великие Луки, пр-кт Октябрьский,52
4, г. Великие Луки, ул. Мелиораторов,7
5, г. Ижевск, ул. Дзержинского,54
6, г. Сыктывкар, ул. Космонавтов,14
7, г. Сыктывкар, ул. Мира,4
8, г. Сыктывкар, ул. Мира,42 дробь 1
9, г. Комсомольск-на-Амуре, ул. Вокзальная,39
10, г. Комсомольск-на-Амуре, ул. Гамарника,16
11, г. Комсомольск-на-Амуре, ул. Охотская,9
12, г. Ижевск, ул. Красногеройская,12
13, г. Ижевск, ул. Ленина,79
14, г. Ижевск, ул. Тельмана,14
15, г. Ижевск, ш. Воткинское,9
16, г. Ижевск, ул. Кирова,110
17, г. Ижевск, ул. Леваневского,2А
18, г. Уссурийск, ул. Агеева,59
19, г. Уссурийск, ул. Агеева,71
20, г. Уссурийск, ул. Амурская,41
21, г. Уссурийск, ул. Андрея Кушнира,23
22, г. Уссурийск, ул. Владивостокское шоссе,8
23, г. Уссурийск, ул. Владивостокское шоссе,109
24, г. Уссурийск, ул. Володарского,14
25, г. Уссурийск, ул. Воровского,55
26, г. Уссурийск, ул. Горького,20
27, г. Уссурийск, ул. Горького,22
28, г. Уссурийск, ул. Григоренко,100
29, г. Уссурийск, ул. Дальневосточная,17
30, г. Уссурийск, ул. Заречная,16
31, г. Уссурийск, пер. Илюшина,3
32, г. Уссурийск, ул. Калинина,17
33, г. Уссурийск, ул. Каховская,17
34, г. Уссурийск, ул. Короленко,11А
35, г. Уссурийск, ул. Крестьянская,55
36, г. Уссурийск, ул. Кузнечная,5
37, г. Уссурийск, ул. Ленина,70
38, г. Уссурийск, ул. Ленина,144
39, г. Уссурийск, ул. Ленинградская,59
40, г. Уссурийск, ул. Некрасова,19
41, г. Уссурийск, ул. Некрасова,50
42, г. Уссурийск, ул. Некрасова,66
43, г. Уссурийск, ул. Некрасова,201 а
44, г. Уссурийск, ул. Пионерская,92
45, г. Уссурийск, ул. Пушкина,77
46, г. Уссурийск, ул. Раковская,2а
47, г. Уссурийск, ул. Русская,35
48, г. Уссурийск, ул. Слободская,49
49, г. Уссурийск, ул. Советская,33
50, г. Уссурийск, ул. Суханова,70
51, г. Уссурийск, ул. Теодора Тихого,9
52, г. Уссурийск, ул. Чичерина,46
53, г. Уссурийск, ул. Чичерина,146
54, г. Находка, ул. Арсеньева,14А
55, г. Находка, ул. Астафьева,123
56, г. Находка, ул. Бокситогорская,20
57, г. Находка, ул. Владивостокская,22
58, г. Находка, ул. Дзержинского,9
59, г. Находка, ул. Кирова,13
60, г. Находка, ул. Комсомольская,32
61, г. Находка, ул. Луначарского,13
62, г. Находка, ул. Малиновского,25
63, г. Находка, пр-кт. Мира,10
64, г. Находка, пр-кт. Мира,24Б
65, г. Находка, ул. Мичурина,10А
66, г. Находка, ул. Мичурина,12А
67, г. Находка, ул. Молодежная,14
